Secret,Alliance,2,0
Liquid,Newbee,0,2
PSG.LGD,CHAOS,2,0
TNC,Keen Gaming,2,0
Liquid,CHAOS,2,0
TNC,Mineski,0,2
PSG.LGD,Keen Gaming,2,0
Secret,Newbee,2,0
Secret,Liquid,2,0
PSG.LGD,TNC,1,1
Alliance,CHAOS,1,1
Keen Gaming,Mineski,2,0
TNC,Alliance,1,1
PSG.LGD,Newbee,1,1
Secret,Keen Gaming,2,0
Liquid,Mineski,1,1
Liquid,PSG.LGD,0,2
Alliance,Keen Gaming,2,0
CHAOS,Mineski,0,2
TNC,Newbee,1,1
Secret,TNC,1,1
Alliance,Newbee,1,1
CHAOS,Keen Gaming,0,2
PSG.LGD,Mineski,2,0
TNC,CHAOS,1,1
Liquid,Alliance,1,1
Newbee,Keen Gaming,1,1
Secret,Mineski,1,1
Secret,PSG.LGD,0,2
Liquid,Keen Gaming,2,0
Newbee,CHAOS,2,0
Alliance,Mineski,1,1
Liquid,TNC,0,2
Secret,CHAOS,1,1
PSG.LGD,Alliance,1,1
Newbee,Mineski,1,1
